Lat,Lon
42,-120
42,-122.07
42,-124.18
42.12,-124.33
42.22,-124.37
42.27,-124.4
42.3,-124.4
42.33,-124.43
42.38,-124.4
42.48,-124.42
42.55,-124.38
42.67,-124.38
42.7,-124.43
42.75,-124.47
42.75,-124.5
42.82,-124.5
42.85,-124.55
43.03,-124.43
43.35,-124.37
43.35,-124.32
43.32,-124.32
43.3,-124.3
43.33,-124.3
43.35,-124.27
43.37,-124.3
43.42,-124.25
43.43,-124.22
43.38,-124.2
43.37,-124.13
43.45,-124.2
43.48,-124.18
43.38,-124.32
43.57,-124.22
43.67,-124.18
43.7,-124.15
43.73,-124.12
43.72,-124.1
43.72,-124.07
43.75,-124.12
43.75,-124.15
43.7,-124.15
43.7,-124.18
44,-124.12
44,-124.1
44.07,-124.12
44.18,-124.1
44.33,-124.1
44.43,-124.07
44.42,-124
44.45,-124.02
44.47,-124.07
44.62,-124.05
44.62,-124
44.65,-124
44.65,-124.03
44.68,-124.05
44.73,-124.03
44.83,-124.05
44.92,-124.02
44.92,-124
45.07,-124
45.18,-123.95
45.22,-123.95
45.28,-123.93
45.33,-123.95
45.35,-123.98
45.37,-123.95
45.43,-123.93
45.4,-123.93
45.42,-123.9
45.47,-123.95
45.5,-123.95
45.52,-123.93
45.52,-123.9
45.48,-123.87
45.52,-123.83
45.53,-123.87
45.58,-123.88
45.58,-123.92
45.6,-123.93
45.68,-123.9
45.72,-123.85
45.72,-123.9
45.68,-123.92
45.72,-123.92
45.77,-123.95
45.78,-123.97
45.82,-123.95
45.88,-123.93
45.95,-123.97
45.98,-123.92
46.03,-123.92
46.13,-123.93
46.23,-123.98
46.17,-123.85
46.17,-123.8
46.13,-123.8
46.12,-123.78
46.15,-123.77
46.2,-123.83
46.22,-123.77
46.18,-123.72
46.2,-123.58
46.22,-123.6
46.22,-123.55
46.25,-123.5
46.25,-123.47
46.22,-123.43
46.18,-123.42
46.17,-123.33
46.17,-123.25
46.18,-123.18
46.18,-123.08
46.15,-123.03
46.12,-122.95
46.08,-122.88
46.02,-122.85
45.97,-122.8
45.85,-122.78
45.78,-122.75
45.68,-122.75
45.63,-122.7
45.62,-122.65
45.62,-122.52
45.58,-122.42
45.58,-122.37
45.57,-122.25
45.63,-121.97
45.7,-121.85
45.72,-121.82
45.7,-121.7
45.73,-121.53
45.72,-121.43
45.72,-121.3
45.68,-121.2
45.63,-121.18
45.62,-121.15
45.67,-121.05
45.65,-120.9
45.72,-120.73
45.75,-120.6
45.75,-120.55
45.72,-120.48
45.72,-120.35
45.73,-120.22
45.78,-120.13
45.83,-119.95
45.87,-119.78
45.87,-119.67
45.93,-119.57
45.92,-119.5
45.93,-119.35
45.93,-119.13
45.95,-119.07
45.98,-119.02
46,-118.98
46.02,-116.9
46,-116.88
45.92,-116.83
45.83,-116.75
45.83,-116.7
45.78,-116.62
45.77,-116.55
45.6,-116.45
45.35,-116.65
45.17,-116.72
45.03,-116.83
44.92,-116.83
44.83,-116.9
44.78,-116.93
44.75,-117.03
44.55,-117.13
44.48,-117.22
44.45,-117.2
44.4,-117.22
44.28,-117.18
44.27,-117.15
44.27,-117.13
44.28,-117.1
44.27,-117.07
44.25,-117.05
44.27,-116.98
44.25,-116.97
44.22,-116.97
44.17,-116.88
44.12,-116.9
44.1,-116.97
44.05,-116.93
44.02,-116.93
43.88,-116.97
43.82,-117.03
42,-117.02
42,-118.5
42,-120
42,-120
42,-120
